#心中的古装剧Top1#,Query time: 2023-12-21 20:13:26
wuli白月光«锦衣之下»陆绎yyds,2023-12-20 23:58
只有仙剑三,2023-12-20 23:58
在我心中，古装剧TOP1永远属于《宫锁心玉》那个灵动机敏，坚强勇敢，时刻充满旺盛生命力的洛晴川。,2023-12-20 23:58
《知否》yyds,2023-12-20 23:58
古装舍我“淇”谁，360度无死角的古装美男子。,2023-12-20 23:57
没有第一，但有挺多近几年的喜欢看的有，知否知否，周生如故，莲花楼，还有让我再想想百看不厌的剧,2023-12-20 23:57
《花千骨》《知否》《楚乔传》 ,2023-12-20 23:57
近几年没有超越的,2023-12-20 23:57
杨紫 香蜜沉沉烬如霜 ,2023-12-20 23:57
必须得我莲花楼成毅啊图片来源见水印 ,2023-12-20 23:57
《红楼梦》 ,2023-12-20 23:57
仙剑奇侠传 ,2023-12-20 23:57
//://://://://://:,2023-12-20 23:57
//://://://:,2023-12-20 23:57
星汉灿烂，东宫，星落凝成糖我都爱，分不出哪个第一 ,2023-12-20 23:57
《锦衣之下》《一念关山》 ,2023-12-20 23:57
看各家粉丝吹,2023-12-20 23:57
三年三爆，成毅2020年的琉璃，2022年的沉香如屑一人分饰三角，三个角色爆火出圈，2023的莲花楼中的李莲花李相夷更是破圈爆火，还有2024最受期待的传统武侠英雄志，狐妖小红娘王权篇，粉成毅不要太开心，看成毅的剧就是这么幸福。,2023-12-20 23:56
那还得是《三生三世十里桃花》我的白浅上神,2023-12-20 23:56
观看时间顺序top1入坑剧爱这个角色的第四年,2023-12-20 23:56
,2023-12-20 23:56
那必须是罗云熙的长月烬明啊，可以N刷的良心好剧！,2023-12-20 23:56
那绝对是香蜜  反正我是超爱 18年以后就没看过剧了，因为觉得比不过香蜜（个人观点） 而且那段时间也踩雷了一些于是就再也没看过剧了 就是看也是看18年之前的一些 ,2023-12-20 23:56
我是进来找三国演义的…… ,2023-12-20 23:56
不是甄嬛传吗？那也应该是87版红楼梦啊 ,2023-12-20 23:56
今年确实是《莲花楼》最亮眼继续刷貌美花花啦,2023-12-20 23:56
小仵作 ,2023-12-20 23:56
1.知否，2.星汉灿烂 ,2023-12-20 23:56
陈情令！ ,2023-12-20 23:56
//://://://:,2023-12-20 23:56
感谢大自然的馈赠亲亲我的熙宝今年唯一抗剧生就是罗云熙,2023-12-20 23:56
今日，有网友发文提问你心中的古装剧top1是哪一部？,2023-12-20 23:56
徐正溪的宇文护 ,2023-12-20 23:56
lyx当然是长月烬明啦，长月烬明服道化、特效一流，罗云熙演技超绝，澹台烬垂直入坑,2023-12-20 23:56
先行一步买股明年的流水迢迢任嘉伦的古装在我心里永远是top1,2023-12-20 23:56
目前看的最上头的一念关山 宁远舟 ,2023-12-20 23:55
琅琊榜，梅长苏，永远的经典 ,2023-12-20 23:55
大家的评论是认真的嘛,2023-12-20 23:55
//://://://://:,2023-12-20 23:55
不该琅琊榜吗,2023-12-20 23:55
目前是《一念关山》，之前是《长月烬明》，随便你们怎么黑，我就是爱看,2023-12-20 23:55
当然是陈情令啊,2023-12-20 23:55
